,Title,Author,Average Rating,First Published,Top 3 Genres,Cluster
0,To Kill a Mockingbird,Harper Lee,4.26,1960.0,"Fiction, Historical Fiction, School",2
1,Pride and Prejudice,Jane Austen,4.29,1813.0,"Fiction, Historical Fiction, Historical",2
2,The Diary of a Young Girl,Anne Frank,4.2,1947.0,"Nonfiction, Biography, Memoir",0
3,"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,4.47,1997.0,"Fantasy, Fiction, Young Adult",2
4,Animal Farm,George Orwell,4.0,1945.0,"Fiction, Dystopia, Fantasy",2
5,1984,George Orwell,4.2,1949.0,"Classics, Fiction, Science Fiction",2
6,The Little Prince,Antoine de Saint-Exupéry,4.33,1943.0,"Classics, Fiction, Fantasy",2
7,The Great Gatsby,F. Scott Fitzgerald,3.93,1925.0,"Fiction, School, Historical Fiction",2
8,The Catcher in the Rye,J.D. Salinger,3.8,1951.0,"Classics, Fiction, Young Adult",2
9,The Lord of the Rings,J.R.R. Tolkien,4.54,1955.0,"Fantasy, Classics, Fiction",2
10,The Book Thief,Markus Zusak,4.39,2005.0,"Historical Fiction, Fiction, Young Adult",2
11,Jane Eyre,Charlotte Brontë,4.15,1847.0,"Fiction, Gothic, Historical Fiction",2
12,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,1956.0,"Fantasy, Classics, Fiction",2
13,Lord of the Flies,William Golding,3.7,1954.0,"Fiction, Classics, Young Adult",2
14,Romeo and Juliet,William Shakespeare,3.74,1597.0,"Classics, Plays, Fiction",2
15,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,2007.0,"Young Adult, Fiction, Magic",2
16,The Kite Runner,Khaled Hosseini,4.35,2003.0,"Fiction, Historical Fiction, Contemporary",2
17,"The Giver (The Giver, #1)",Lois Lowry,4.12,1993.0,"Young Adult, Fiction, Classics",2
18,The Giving Tree,Shel Silverstein,4.38,1964.0,"Childrens, Classics, Fiction",2
19,"Little Women (Little Women, #1)",Louisa May Alcott,4.16,1868.0,"Fiction, Historical Fiction, Young Adult",2
20,Charlotte’s Web,E.B. White,4.2,1952.0,"Fiction, Childrens, Classics",2
21,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,2008.0,"Young Adult, Fiction, Fantasy",2
22,"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.29,1937.0,"Fantasy, Fiction, Classics",2
23,Fahrenheit 451,Ray Bradbury,3.97,1953.0,"Fiction, Science Fiction, Dystopia",2
24,Of Mice and Men,John Steinbeck,3.89,1937.0,"Fiction, School, Historical Fiction",2
25,Green Eggs and Ham,Dr. Seuss,4.31,1960.0,"Childrens, Picture Books, Classics",2
26,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,1999.0,"Fantasy, Fiction, Young Adult",2
27,Wuthering Heights,Emily Brontë,3.9,1847.0,"Fiction, Gothic, Historical Fiction",2
28,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.07,1871.0,"Fantasy, Fiction, Classics",2
29,The Picture of Dorian Gray,Oscar Wilde,4.13,1890.0,"Classics, Fiction, Horror",2
30,Night,Elie Wiesel,4.38,1956.0,"Nonfiction, Classics, Memoir",0
31,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,1997.0,"Fantasy, Fiction, Young Adult",2
32,Gone with the Wind,Margaret Mitchell,4.31,1936.0,"Classics, Historical Fiction, Fiction",2
33,The Holy Bible: King James Version,Anonymous,4.44,1611.0,"Classics, Nonfiction, Christian",2
34,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,2000.0,"Fantasy, Fiction, Young Adult",2
35,"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.23,1979.0,"Science Fiction, Fiction, Humor",2
36,Hamlet,William Shakespeare,4.02,1601.0,"Plays, Fiction, School",2
37,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,2005.0,"Fantasy, Fiction, Young Adult",2
38,The Adventures of Huckleberry Finn,Mark Twain,3.83,1884.0,"Fiction, Classics, Historical Fiction",2
39,Tolkien On Fairy-stories,J.R.R. Tolkien,4.32,2008.0,"Fantasy, Classics, Essays",2
40,Les Misérables,Victor Hugo,4.21,1862.0,"Fiction, Historical Fiction, Literature",2
41,Brave New World and Brave New World Revisited,Aldous Huxley,4.16,1958.0,"Fiction, Science Fiction, Dystopia",2
42,Crime and Punishment,Fyodor Dostoevsky,4.28,1866.0,"Fiction, Russia, Russian Literature",2
43,The Help,Kathryn Stockett,4.46,2009.0,"Fiction, Historical Fiction, Historical",2
44,The Secret Garden,Frances Hodgson Burnett,4.16,1911.0,"Fiction, Classics, Childrens",2
45,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,1950.0,"Fantasy, Fiction, Young Adult",2
46,Memoirs of a Geisha,Arthur Golden,4.16,1997.0,"Fiction, Historical Fiction, Romance",2
48,A Christmas Carol,Charles Dickens,4.09,1843.0,"Fiction, Christmas, Classics",2
49,"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,4.19,1957.0,"Childrens, Picture Books, Fiction",2
50,The Outsiders,S.E. Hinton,4.14,1967.0,"Classics, Young Adult, Fiction",2
51,A Thousand Splendid Suns,Khaled Hosseini,4.45,2007.0,"Fiction, Historical Fiction, Historical",2
52,One hundred years of solitude,Gabriel García Márquez,4.12,1967.0,"Fiction, Magical Realism, Fantasy",2
53,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.32,1908.0,"Classics, Fiction, Young Adult",2
54,The Grapes of Wrath,John Steinbeck,4.02,1939.0,"Classics, Fiction, Historical Fiction",2
55,The Count of Monte Cristo,Alexandre Dumas,4.31,1846.0,"Fiction, Historical Fiction, Adventure",2
56,Where the Sidewalk Ends,Shel Silverstein,4.34,1974.0,"Poetry, Childrens, Classics",2
57,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31,1985.0,"Science Fiction, Fiction, Young Adult",2
58,Where the Wild Things Are,Maurice Sendak,4.25,1963.0,"Picture Books, Childrens, Fiction",2
59,The Color Purple,Alice Walker,4.27,1982.0,"Fiction, Historical Fiction, Feminism",2
60,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.15,1985.0,"Fiction, Classics, Dystopia",2
61,The Adventures of Tom Sawyer,Mark Twain,3.92,1876.0,"Fiction, Classics, Adventure",2
62,A Tale of Two Cities,Charles Dickens,3.87,1859.0,"Classics, Fiction, Historical Fiction",2
63,Life of Pi,Yann Martel,3.94,2001.0,"Fiction, Fantasy, Classics",2
64,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.88,1818.0,"Horror, Fiction, Science Fiction",2
65,One Flew Over the Cuckoo’s Nest,Ken Kesey,4.2,1962.0,"Fiction, Classics, Psychology",2
66,"Oh, the Places You’ll Go!",Dr. Seuss,4.37,1990.0,"Childrens, Picture Books, Fiction",2
67,Anna Karenina,Leo Tolstoy,4.1,1878.0,"Fiction, Romance, Russia",2
68,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,4.19,1997.0,"Nonfiction, Memoir, Biography",0
69,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.4,1954.0,"Fantasy, Classics, Fiction",2
70,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,1969.0,"Fiction, Science Fiction, Classics",2
71,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.38,1928.0,"Childrens, Fiction, Classics",2
72,The Old Man and the Sea,Ernest Hemingway,3.81,1952.0,"Fiction, Literature, Novels",2
73,Catch-22,Joseph Heller,3.99,1961.0,"Classics, Fiction, Historical Fiction",2
74,The Scarlet Letter,Nathaniel Hawthorne,3.44,1850.0,"Fiction, Historical Fiction, School",2
75,The Alchemist,Paulo Coelho,3.92,1988.0,"Fiction, Fantasy, Philosophy",2
76,Macbeth,William Shakespeare,3.89,1623.0,"Classics, Plays, Fiction",2
77,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.66,2005.0,"Fantasy, Young Adult, Romance",2
78,The Metamorphosis,Franz Kafka,3.89,1915.0,"Classics, Fiction, Fantasy",2
79,Lolita,Vladimir Nabokov,3.87,1955.0,"Fiction, Literature, Russia",2
80,The Stranger,Albert Camus,4.03,1942.0,"Classics, Fiction, Philosophy",2
81,Siddhartha,Hermann Hesse,4.08,1922.0,"Fiction, Philosophy, Spirituality",2
82,The Time Traveler's Wife,Audrey Niffenegger,4.0,2003.0,"Fiction, Romance, Fantasy",2
83,Goodnight Moon,Margaret Wise Brown,4.32,1947.0,"Childrens, Picture Books, Fiction",2
84,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,1998.0,"Fantasy, Fiction, Young Adult",2
85,War and Peace,Leo Tolstoy,4.16,1869.0,"Classics, Fiction, Historical Fiction",2
86,A Tree Grows in Brooklyn,Betty  Smith,4.3,1943.0,"Fiction, Historical Fiction, Classics",2
87,The Alchemist,Paulo Coelho,3.92,1988.0,"Fiction, Fantasy, Philosophy",2
88,All Quiet on the Western Front,Erich Maria Remarque,4.09,1928.0,"Fiction, Historical Fiction, War",2
89,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,4.36,1971.0,"Classics, Historical Fiction, Childrens",2
90,A Clockwork Orange,Anthony Burgess,4.0,1962.0,"Fiction, Science Fiction, Dystopia",2
91,The Stand,Stephen        King,4.35,1978.0,"Horror, Fiction, Fantasy",2
92,Don Quixote,Miguel de Cervantes Saavedra,3.9,1615.0,"Fiction, Classics, Literature",2
93,Uncle Tom’s Cabin,Harriet Beecher Stowe,3.91,1852.0,"Classics, Fiction, Historical Fiction",2
95,Atlas Shrugged,Ayn Rand,3.69,1957.0,"Fiction, Classics, Philosophy",2
96,The Brothers Karamazov,Fyodor Dostoevsky,4.38,1880.0,"Fiction, Russia, Classics",2
97,A Story of Yesterday,Sergio Cobo,4.54,2014.0,"Thriller, Mystery, Spanish Literature",2
98,Brave New World,Aldous Huxley,3.99,1932.0,"Fiction, Science Fiction, Dystopia",2
99,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,4.3,1969.0,"Nonfiction, Classics, Memoir",0
100,"Moby-Dick or, The Whale",Herman Melville,3.56,1851.0,"Fiction, Literature, Adventure",2
101,The Poisonwood Bible,Barbara Kingsolver,4.1,1998.0,"Fiction, Historical Fiction, Africa",2
102,The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,4.24,1830.0,"Religion, Nonfiction, Lds",2
103,"The da Vinci Code (Robert Langdon, #2)",Dan    Brown,3.93,2003.0,"Fiction, Mystery, Thriller",2
104,Great Expectations,Charles Dickens,3.8,1861.0,"Classics, Fiction, Literature",2
105,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.47,1971.0,"Nonfiction, Biography, History",0
106,"The Good Earth (House of Earth, #1)",Pearl S. Buck,4.01,1931.0,"Fiction, Historical Fiction, China",2
107,Dracula,Bram Stoker,4.02,1897.0,"Horror, Fiction, Fantasy",2
108,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.98,1962.0,"Fantasy, Fiction, Classics",2
